Id,breed,recipe_name,cooking_method,ingredients[0].name,ingredients[1].name,ingredients[2].name,ingredients[3].name,ingredients[4].name,ingredients[5].name
,Bully Kutta,Okra Chunks with Wheat,Steamed,Okra,Wheat,Fenugreek Seeds,Eggs,Pomegranate,
,Kombai,Lentils Chunks with Ridge Gourd,Slow-cooked,Lentils,Ridge Gourd,Sweet Potato,,,
,Kaikadi,Apple Stew with Peas,Steamed,Apple,Peas,Paneer,Wheat,,
,Pandikona,Oats Curry with Carrots,Slow-cooked,Oats,Carrots,Eggs,,,
,Mudhol Hound,Soya Chunks Pulao with Rice,Stir-fried,Soya Chunks,Rice,Spinach,,,
,Tibetan Mastiff,Okra Pulao with Chicken,Raw,Okra,Chicken,Oats,Papaya,Coconut Oil,
,Chippiparai,Turmeric Stew with Green Beans,Baked,Turmeric,Green Beans,Papaya,Pumpkin,Eggs,
,Bully Kutta,Peas Pulao with Pumpkin,Slow-cooked,Peas,Pumpkin,Coconut Oil,Watermelon,Goat,Okra
,Bully Kutta,Ridge Gourd Chunks with Fish,Boiled,Ridge Gourd,Fish,Rice,Apple,Ghee,Peas
,Pandikona,Papaya Pulao with Lentils,Pressure-cooked,Papaya,Lentils,Bottle Gourd,Sweet Potato,,
,Gaddi Kutta,Apple Paratha with Bajra,Raw,Apple,Bajra,Carrots,Paneer,,
,Jonangi,Soya Chunks Pulao with Green Beans,Stir-fried,Soya Chunks,Green Beans,Ragi,Banana,,
,Bakharwal Dog,Peas Paratha with Papaya,Raw,Peas,Papaya,Lamb,Rice,,
,Bakharwal Dog,Paneer Stew with Ridge Gourd,Raw,Paneer,Ridge Gourd,Ghee,Peas,Wheat,Papaya
,Bangkaew,Cucumber Chunks with Sweet Potato,Stir-fried,Cucumber,Sweet Potato,Goat,Green Beans,,
,Rajapalayam,Oats Curry with Curd,Raw,Oats,Curd,Soya Chunks,Watermelon,Bottle Gourd,
,Tibetan Mastiff,Pumpkin Stew with Spinach,Baked,Pumpkin,Spinach,Coconut Oil,Goat,Ridge Gourd,Mango
,Kombai,Bajra Chunks with Eggs,Pressure-cooked,Bajra,Eggs,Flaxseed,Papaya,Green Beans,
,Bangkaew,Lamb Pulao with Ridge Gourd,Slow-cooked,Lamb,Ridge Gourd,Curd,Bajra,Pomegranate,
,Himalayan Cat,Turmeric Khichdi with Ridge Gourd,Boiled,Turmeric,Ridge Gourd,Rice,Cucumber,Carrots,Fish
,Rampur Greyhound,Bajra Khichdi with Turmeric,Baked,Bajra,Turmeric,Bitter Gourd,Papaya,Fish,
,Chippiparai,Eggs Curry with Papaya,Slow-cooked,Eggs,Papaya,Sweet Potato,Ridge Gourd,,
,Bully Kutta,Bottle Gourd Pulao with Sweet Potato,Stir-fried,Bottle Gourd,Sweet Potato,Ghee,Banana,Chicken,
,Gaddi Kutta,Green Beans Khichdi with Soya Chunks,Baked,Green Beans,Soya Chunks,Cucumber,Flaxseed,Carrots,Rice
,Bakharwal Dog,Lentils Pulao with Okra,Baked,Lentils,Okra,Curd,Banana,Jowar,Bottle Gourd
,Mudhol Hound,Wheat Stew with Banana,Raw,Wheat,Banana,Goat,Carrots,Coconut Oil,
,Tangkhul Hui,Pumpkin Mash with Banana,Pressure-cooked,Pumpkin,Banana,Spinach,Eggs,Curd,
,Bully Kutta,Spinach Mash with Fenugreek Seeds,Raw,Spinach,Fenugreek Seeds,Ridge Gourd,Jowar,Apple,Goat
,Indian Pariah Dog,Ridge Gourd Curry with Fish,Pressure-cooked,Ridge Gourd,Fish,Ghee,Jowar,Papaya,Peas
,Jonangi,Spinach Curry with Lamb,Raw,Spinach,Lamb,Jowar,,,
,Rajapalayam,Sweet Potato Curry with Bitter Gourd,Steamed,Sweet Potato,Bitter Gourd,Eggs,Apple,Coconut Oil,Okra
,Kanni,Oats Chunks with Ghee,Steamed,Oats,Ghee,Lentils,Spinach,Apple,
,Kombai,Peas Pulao with Lamb,Slow-cooked,Peas,Lamb,Ragi,,,
,Gaddi Kutta,Papaya Mash with Spinach,Stir-fried,Papaya,Spinach,Goat,Sweet Potato,,
,Indian Bicolor Cat,Eggs Pulao with Spinach,Baked,Eggs,Spinach,Pumpkin,,,
,Indian Spitz,Okra Chunks with Apple,Pressure-cooked,Okra,Apple,Eggs,Rice,Ghee,
,Himalayan Cat,Carrots Khichdi with Lamb,Boiled,Carrots,Lamb,Rice,,,
,Kanni,Carrots Khichdi with Mango,Baked,Carrots,Mango,Ghee,Goat,Peas,Oats
,Gaddi Kutta,Goat Mash with Bitter Gourd,Boiled,Goat,Bitter Gourd,Sweet Potato,,,
,Indian Spitz,Apple Chunks with Okra,Baked,Apple,Okra,Wheat,Goat,,
,Himalayan Cat,Mango Mash with Eggs,Steamed,Mango,Eggs,Carrots,Jowar,,
,Indian Spitz,Curd Curry with Jowar,Steamed,Curd,Jowar,Papaya,Green Beans,Lamb,
,Tibetan Mastiff,Chicken Pulao with Flaxseed,Slow-cooked,Chicken,Flaxseed,Rice,Carrots,Papaya,Bitter Gourd
,Rajapalayam,Jowar Pulao with Flaxseed,Baked,Jowar,Flaxseed,Carrots,Mango,Carrots,Chicken
,Indian Pariah Dog,Chicken Khichdi with Pomegranate,Slow-cooked,Chicken,Pomegranate,Bajra,Bitter Gourd,Coconut Oil,
,Gaddi Kutta,Papaya Mash with Ghee,Pressure-cooked,Papaya,Ghee,Ridge Gourd,Fish,Okra,Oats
,Bangkaew,Papaya Curry with Wheat,Steamed,Papaya,Wheat,Paneer,Green Beans,,
,Himalayan Cat,Papaya Paratha with Ridge Gourd,Raw,Papaya,Ridge Gourd,Fish,Peas,Rice,Fenugreek Seeds
,Pandikona,Bitter Gourd Stew with Lentils,Stir-fried,Bitter Gourd,Lentils,Bajra,,,
,Kaikadi,Peas Pulao with Watermelon,Pressure-cooked,Peas,Watermelon,Ragi,Flaxseed,Bottle Gourd,Soya Chunks
,Indian Pariah Dog,Green Beans Pulao with Curd,Baked,Green Beans,Curd,Bajra,Soya Chunks,Watermelon,
,Gaddi Kutta,Turmeric Pulao with Rice,Stir-fried,Turmeric,Rice,Spinach,Watermelon,Green Beans,Lamb
,Tangkhul Hui,Curd Pulao with Watermelon,Pressure-cooked,Curd,Watermelon,Chicken,Ragi,Ridge Gourd,Spinach
,Indian Bicolor Cat,Chicken Chunks with Spinach,Stir-fried,Chicken,Spinach,Curd,Cucumber,Bottle Gourd,Jowar
,Jonangi,Sweet Potato Khichdi with Okra,Slow-cooked,Sweet Potato,Okra,Papaya,Fish,,
,Rampur Greyhound,Soya Chunks Stew with Curd,Pressure-cooked,Soya Chunks,Curd,Papaya,Bajra,Carrots,Bottle Gourd
,Rajapalayam,Carrots Stew with Bottle Gourd,Slow-cooked,Carrots,Bottle Gourd,Ragi,Paneer,Flaxseed,Apple
,Jonangi,Carrots Khichdi with Fish,Stir-fried,Carrots,Fish,Ragi,Papaya,,
,Tangkhul Hui,Fish Khichdi with Watermelon,Slow-cooked,Fish,Watermelon,Turmeric,Jowar,Bitter Gourd,
,Indian Pariah Dog,Eggs Curry with Watermelon,Steamed,Eggs,Watermelon,Turmeric,Bajra,Bitter Gourd,
,Pandikona,Bitter Gourd Paratha with Okra,Stir-fried,Bitter Gourd,Okra,Ragi,Pomegranate,Goat,Ghee
,Gaddi Kutta,Lentils Mash with Peas,Pressure-cooked,Lentils,Peas,Wheat,,,
,Chippiparai,Ragi Pulao with Carrots,Steamed,Ragi,Carrots,Apple,Soya Chunks,,
,Tangkhul Hui,Fish Curry with Bajra,Baked,Fish,Bajra,Pomegranate,Peas,Turmeric,Okra
,Rajapalayam,Lentils Khichdi with Ragi,Steamed,Lentils,Ragi,Ridge Gourd,,,
,Chippiparai,Okra Chunks with Pumpkin,Raw,Okra,Pumpkin,Apple,Fish,Flaxseed,
,Indian Bicolor Cat,Flaxseed Paratha with Bajra,Raw,Flaxseed,Bajra,Mango,Spinach,Spinach,Chicken
,Bangkaew,Paneer Pulao with Peas,Raw,Paneer,Peas,Pumpkin,,,
,Pandikona,Bajra Chunks with Ghee,Steamed,Bajra,Ghee,Fish,Bottle Gourd,Papaya,
,Rajapalayam,Bajra Pulao with Spinach,Steamed,Bajra,Spinach,Lentils,,,
,Jonangi,Coconut Oil Chunks with Pomegranate,Raw,Coconut Oil,Pomegranate,Wheat,Lamb,Okra,
,Bangkaew,Cucumber Mash with Green Beans,Baked,Cucumber,Green Beans,Rice,Coconut Oil,Eggs,Bottle Gourd
,Chippiparai,Goat Khichdi with Carrots,Pressure-cooked,Goat,Carrots,Wheat,Pomegranate,Coconut Oil,
,Jonangi,Soya Chunks Curry with Rice,Pressure-cooked,Soya Chunks,Rice,Apple,Bitter Gourd,,
,Chippiparai,Pomegranate Paratha with Green Beans,Steamed,Pomegranate,Green Beans,Rice,Chicken,Ghee,Carrots
,Mudhol Hound,Coconut Oil Khichdi with Bottle Gourd,Boiled,Coconut Oil,Bottle Gourd,Banana,Lentils,Wheat,Okra
,Kanni,Bitter Gourd Khichdi with Eggs,Steamed,Bitter Gourd,Eggs,Pomegranate,Pumpkin,,
,Himalayan Cat,Ragi Paratha with Soya Chunks,Slow-cooked,Ragi,Soya Chunks,Carrots,,,
,Rajapalayam,Paneer Curry with Bottle Gourd,Boiled,Paneer,Bottle Gourd,Ridge Gourd,Bajra,Cucumber,Flaxseed
,Indian Spitz,Ridge Gourd Stew with Wheat,Raw,Ridge Gourd,Wheat,Lamb,,,
,Jonangi,Jowar Curry with Fish,Raw,Jowar,Fish,Pomegranate,Peas,,
,Bakharwal Dog,Paneer Khichdi with Okra,Slow-cooked,Paneer,Okra,Oats,Papaya,,
,Kaikadi,Okra Paratha with Eggs,Slow-cooked,Okra,Eggs,Turmeric,Carrots,Mango,Oats
,Bakharwal Dog,Carrots Chunks with Banana,Slow-cooked,Carrots,Banana,Rice,Paneer,Spinach,Ghee
,Indian Pariah Dog,Sweet Potato Khichdi with Goat,Pressure-cooked,Sweet Potato,Goat,Spinach,,,
,Rajapalayam,Fenugreek Seeds Stew with Apple,Baked,Fenugreek Seeds,Apple,Carrots,Pumpkin,Lentils,
,Indian Spitz,Fenugreek Seeds Chunks with Ridge Gourd,Boiled,Fenugreek Seeds,Ridge Gourd,Bottle Gourd,Bajra,Pomegranate,Soya Chunks
,Rampur Greyhound,Spinach Pulao with Pumpkin,Pressure-cooked,Spinach,Pumpkin,Fish,Cucumber,,
,Mudhol Hound,Okra Chunks with Bajra,Pressure-cooked,Okra,Bajra,Soya Chunks,,,
,Vikhan Sheepdog,Curd Chunks with Okra,Raw,Curd,Okra,Cucumber,Soya Chunks,Wheat,
,Bully Kutta,Goat Stew with Bajra,Baked,Goat,Bajra,Fenugreek Seeds,Mango,Green Beans,Green Beans
,Bully Kutta,Sweet Potato Khichdi with Paneer,Baked,Sweet Potato,Paneer,Ridge Gourd,Mango,Fenugreek Seeds,
,Vikhan Sheepdog,Spinach Pulao with Mango,Slow-cooked,Spinach,Mango,Chicken,Pumpkin,,
,Kaikadi,Jowar Chunks with Chicken,Slow-cooked,Jowar,Chicken,Spinach,,,
,Vikhan Sheepdog,Ridge Gourd Chunks with Pumpkin,Pressure-cooked,Ridge Gourd,Pumpkin,Papaya,Lentils,,
,Bakharwal Dog,Wheat Curry with Bitter Gourd,Stir-fried,Wheat,Bitter Gourd,Watermelon,Paneer,Bottle Gourd,Ghee
,Gaddi Kutta,Bottle Gourd Chunks with Fish,Raw,Bottle Gourd,Fish,Oats,,,
,Tangkhul Hui,Okra Khichdi with Rice,Stir-fried,Okra,Rice,Goat,,,
,Kombai,Pumpkin Paratha with Eggs,Pressure-cooked,Pumpkin,Eggs,Spinach,,,
,Kaikadi,Peas Chunks with Eggs,Pressure-cooked,Peas,Eggs,Banana,Rice,,
,Mudhol Hound,Bitter Gourd Mash with Watermelon,Stir-fried,Bitter Gourd,Watermelon,Eggs,Oats,,
,Gaddi Kutta,Oats Mash with Fenugreek Seeds,Baked,Oats,Fenugreek Seeds,Green Beans,Soya Chunks,Green Beans,Papaya
,Gaddi Kutta,Ridge Gourd Mash with Apple,Raw,Ridge Gourd,Apple,Curd,Paneer,Pumpkin,
,Indian Spitz,Paneer Khichdi with Wheat,Stir-fried,Paneer,Wheat,Cucumber,Ridge Gourd,,
,Bully Kutta,Green Beans Chunks with Banana,Steamed,Green Beans,Banana,Fish,Wheat,Green Beans,Coconut Oil
,Kaikadi,Pumpkin Curry with Bottle Gourd,Steamed,Pumpkin,Bottle Gourd,Soya Chunks,,,
,Bakharwal Dog,Turmeric Paratha with Pomegranate,Steamed,Turmeric,Pomegranate,Ridge Gourd,Pumpkin,Eggs,
,Rajapalayam,Goat Chunks with Pumpkin,Slow-cooked,Goat,Pumpkin,Spinach,,,
,Chippiparai,Bitter Gourd Mash with Ridge Gourd,Steamed,Bitter Gourd,Ridge Gourd,Ghee,Chicken,Jowar,Apple
,Kanni,Sweet Potato Curry with Turmeric,Slow-cooked,Sweet Potato,Turmeric,Bottle Gourd,Watermelon,Spinach,Eggs
,Bangkaew,Goat Mash with Ridge Gourd,Boiled,Goat,Ridge Gourd,Flaxseed,Bajra,Ridge Gourd,Mango
,Bakharwal Dog,Peas Pulao with Apple,Steamed,Peas,Apple,Soya Chunks,Rice,,
,Mudhol Hound,Paneer Paratha with Ragi,Baked,Paneer,Ragi,Green Beans,,,
,Kombai,Curd Stew with Soya Chunks,Pressure-cooked,Curd,Soya Chunks,Watermelon,Ridge Gourd,Ragi,
,Indian Bicolor Cat,Bitter Gourd Khichdi with Pomegranate,Boiled,Bitter Gourd,Pomegranate,Soya Chunks,Oats,,
,Kaikadi,Chicken Khichdi with Ragi,Pressure-cooked,Chicken,Ragi,Green Beans,Ghee,Watermelon,
,Tangkhul Hui,Lamb Khichdi with Okra,Baked,Lamb,Okra,Green Beans,Ghee,Pumpkin,Apple
,Bully Kutta,Ghee Stew with Papaya,Boiled,Ghee,Papaya,Paneer,Okra,Jowar,
,Bully Kutta,Soya Chunks Stew with Jowar,Stir-fried,Soya Chunks,Jowar,Peas,,,
,Vikhan Sheepdog,Rice Khichdi with Cucumber,Steamed,Rice,Cucumber,Fish,Bitter Gourd,,
,Indian Bicolor Cat,Fish Mash with Ridge Gourd,Raw,Fish,Ridge Gourd,Jowar,,,
,Indian Bicolor Cat,Apple Chunks with Paneer,Boiled,Apple,Paneer,Bitter Gourd,Jowar,Green Beans,Curd
,Kanni,Green Beans Pulao with Wheat,Raw,Green Beans,Wheat,Lamb,,,
,Bully Kutta,Goat Mash with Jowar,Stir-fried,Goat,Jowar,Green Beans,Cucumber,Coconut Oil,
,Kaikadi,Coconut Oil Khichdi with Rice,Baked,Coconut Oil,Rice,Lentils,Bottle Gourd,Banana,Peas
,Mudhol Hound,Lamb Pulao with Coconut Oil,Slow-cooked,Lamb,Coconut Oil,Pomegranate,Pumpkin,Spinach,
,Chippiparai,Bajra Pulao with Papaya,Baked,Bajra,Papaya,Ghee,Goat,Ridge Gourd,
,Kaikadi,Lentils Pulao with Ridge Gourd,Slow-cooked,Lentils,Ridge Gourd,Jowar,Banana,,
,Bully Kutta,Soya Chunks Pulao with Spinach,Steamed,Soya Chunks,Spinach,Pumpkin,,,
,Jonangi,Sweet Potato Stew with Coconut Oil,Boiled,Sweet Potato,Coconut Oil,Peas,Peas,Lentils,Banana
,Kanni,Peas Khichdi with Fish,Steamed,Peas,Fish,Green Beans,Watermelon,Rice,Flaxseed
,Indian Spitz,Pumpkin Paratha with Lamb,Stir-fried,Pumpkin,Lamb,Ridge Gourd,Watermelon,,
,Chippiparai,Carrots Chunks with Rice,Slow-cooked,Carrots,Rice,Paneer,,,
,Pandikona,Curd Pulao with Watermelon,Baked,Curd,Watermelon,Ridge Gourd,Wheat,Soya Chunks,Okra
,Himalayan Cat,Ragi Khichdi with Eggs,Stir-fried,Ragi,Eggs,Flaxseed,Papaya,Spinach,Green Beans
,Indian Pariah Dog,Soya Chunks Stew with Green Beans,Boiled,Soya Chunks,Green Beans,Ragi,Papaya,,
,Bully Kutta,Okra Paratha with Jowar,Slow-cooked,Okra,Jowar,Papaya,Soya Chunks,,
,Indian Pariah Dog,Lamb Chunks with Wheat,Steamed,Lamb,Wheat,Bottle Gourd,,,
,Bakharwal Dog,Mango Pulao with Goat,Steamed,Mango,Goat,Pumpkin,Bitter Gourd,,
,Himalayan Cat,Ridge Gourd Paratha with Fish,Baked,Ridge Gourd,Fish,Rice,Coconut Oil,Pomegranate,
,Himalayan Cat,Oats Khichdi with Chicken,Raw,Oats,Chicken,Pomegranate,Okra,,
,Indian Pariah Dog,Sweet Potato Pulao with Bottle Gourd,Raw,Sweet Potato,Bottle Gourd,Chicken,,,
,Tangkhul Hui,Pumpkin Khichdi with Peas,Slow-cooked,Pumpkin,Peas,Soya Chunks,,,
,Bully Kutta,Papaya Paratha with Ghee,Steamed,Papaya,Ghee,Fish,Peas,Jowar,
,Kaikadi,Lentils Curry with Okra,Boiled,Lentils,Okra,Jowar,Fenugreek Seeds,Pomegranate,Okra
,Jonangi,Wheat Khichdi with Soya Chunks,Steamed,Wheat,Soya Chunks,Spinach,,,
,Bangkaew,Green Beans Khichdi with Lentils,Slow-cooked,Green Beans,Lentils,Ragi,Turmeric,Pomegranate,
,Rajapalayam,Pomegranate Mash with Soya Chunks,Baked,Pomegranate,Soya Chunks,Bajra,Green Beans,,
,Mudhol Hound,Peas Mash with Lamb,Baked,Peas,Lamb,Bajra,,,
,Kanni,Lamb Khichdi with Wheat,Stir-fried,Lamb,Wheat,Okra,,,
,Bangkaew,Rice Chunks with Papaya,Baked,Rice,Papaya,Bottle Gourd,Okra,Curd,Eggs
,Chippiparai,Bitter Gourd Stew with Paneer,Stir-fried,Bitter Gourd,Paneer,Rice,,,
,Kombai,Bitter Gourd Chunks with Fish,Slow-cooked,Bitter Gourd,Fish,Fenugreek Seeds,Carrots,Sweet Potato,Cucumber
,Rampur Greyhound,Eggs Khichdi with Rice,Steamed,Eggs,Rice,Spinach,Banana,,
,Bully Kutta,Coconut Oil Stew with Spinach,Boiled,Coconut Oil,Spinach,Lentils,Carrots,Watermelon,Bajra
,Mudhol Hound,Jowar Curry with Goat,Pressure-cooked,Jowar,Goat,Flaxseed,Apple,Ridge Gourd,Bitter Gourd
,Himalayan Cat,Pumpkin Stew with Cucumber,Baked,Pumpkin,Cucumber,Spinach,Paneer,,
,Indian Spitz,Bajra Khichdi with Bottle Gourd,Slow-cooked,Bajra,Bottle Gourd,Lamb,,,
,Kanni,Peas Khichdi with Cucumber,Boiled,Peas,Cucumber,Bajra,Goat,,
,Bully Kutta,Bottle Gourd Paratha with Flaxseed,Pressure-cooked,Bottle Gourd,Flaxseed,Chicken,Ragi,Cucumber,
,Indian Bicolor Cat,Rice Pulao with Watermelon,Steamed,Rice,Watermelon,Ridge Gourd,Lamb,Fenugreek Seeds,
,Vikhan Sheepdog,Fish Mash with Sweet Potato,Slow-cooked,Fish,Sweet Potato,Spinach,,,
,Rampur Greyhound,Spinach Curry with Lamb,Pressure-cooked,Spinach,Lamb,Wheat,,,
,Indian Pariah Dog,Banana Khichdi with Turmeric,Stir-fried,Banana,Turmeric,Ragi,Carrots,Eggs,
,Gaddi Kutta,Ghee Pulao with Apple,Pressure-cooked,Ghee,Apple,Chicken,Okra,Oats,
,Himalayan Cat,Banana Paratha with Peas,Raw,Banana,Peas,Turmeric,Paneer,Pumpkin,
,Kaikadi,Papaya Pulao with Jowar,Steamed,Papaya,Jowar,Okra,Spinach,Fenugreek Seeds,Fish
,Vikhan Sheepdog,Fenugreek Seeds Khichdi with Goat,Pressure-cooked,Fenugreek Seeds,Goat,Peas,Rice,Cucumber,Spinach
,Tangkhul Hui,Soya Chunks Pulao with Cucumber,Baked,Soya Chunks,Cucumber,Okra,Flaxseed,Rice,
,Kaikadi,Mango Pulao with Eggs,Boiled,Mango,Eggs,Peas,Jowar,,
,Bakharwal Dog,Chicken Chunks with Peas,Baked,Chicken,Peas,Oats,,,
,Jonangi,Bajra Chunks with Ridge Gourd,Baked,Bajra,Ridge Gourd,Pomegranate,Chicken,,
,Jonangi,Lentils Mash with Rice,Raw,Lentils,Rice,Bitter Gourd,,,
,Rampur Greyhound,Papaya Mash with Oats,Boiled,Papaya,Oats,Carrots,Fenugreek Seeds,Soya Chunks,Green Beans
,Indian Pariah Dog,Pumpkin Chunks with Carrots,Raw,Pumpkin,Carrots,Fish,,,
,Vikhan Sheepdog,Ragi Mash with Papaya,Pressure-cooked,Ragi,Papaya,Chicken,Ridge Gourd,,
,Jonangi,Spinach Mash with Soya Chunks,Stir-fried,Spinach,Soya Chunks,Cucumber,Ghee,Bajra,
,Indian Spitz,Bitter Gourd Pulao with Pumpkin,Stir-fried,Bitter Gourd,Pumpkin,Coconut Oil,Paneer,Bitter Gourd,Watermelon
,Gaddi Kutta,Bitter Gourd Pulao with Oats,Pressure-cooked,Bitter Gourd,Oats,Soya Chunks,,,
,Pandikona,Fenugreek Seeds Paratha with Bitter Gourd,Raw,Fenugreek Seeds,Bitter Gourd,Lentils,Oats,Cucumber,
,Indian Spitz,Fenugreek Seeds Curry with Cucumber,Boiled,Fenugreek Seeds,Cucumber,Rice,Eggs,Ridge Gourd,
,Jonangi,Mango Curry with Flaxseed,Pressure-cooked,Mango,Flaxseed,Spinach,Paneer,Wheat,
,Himalayan Cat,Ridge Gourd Stew with Fenugreek Seeds,Steamed,Ridge Gourd,Fenugreek Seeds,Bottle Gourd,Paneer,Oats,Pomegranate
,Vikhan Sheepdog,Bottle Gourd Stew with Ghee,Raw,Bottle Gourd,Ghee,Sweet Potato,Chicken,Pomegranate,
,Mudhol Hound,Green Beans Stew with Oats,Slow-cooked,Green Beans,Oats,Eggs,,,
,Bangkaew,Apple Stew with Coconut Oil,Stir-fried,Apple,Coconut Oil,Goat,Green Beans,Spinach,Pumpkin
,Indian Spitz,Cucumber Stew with Ridge Gourd,Boiled,Cucumber,Ridge Gourd,Soya Chunks,Sweet Potato,,
,Tibetan Mastiff,Chicken Khichdi with Bajra,Stir-fried,Chicken,Bajra,Ridge Gourd,,,
,Gaddi Kutta,Bottle Gourd Curry with Fish,Pressure-cooked,Bottle Gourd,Fish,Apple,Oats,,
,Rajapalayam,Lamb Paratha with Banana,Boiled,Lamb,Banana,Bajra,Bottle Gourd,,
,Kaikadi,Chicken Pulao with Okra,Baked,Chicken,Okra,Wheat,,,
,Tangkhul Hui,Fish Khichdi with Mango,Steamed,Fish,Mango,Bottle Gourd,Ragi,,
,Indian Spitz,Spinach Khichdi with Banana,Stir-fried,Spinach,Banana,Wheat,Lamb,,
,Bakharwal Dog,Bajra Khichdi with Cucumber,Baked,Bajra,Cucumber,Soya Chunks,Carrots,,
,Pandikona,Carrots Chunks with Ragi,Boiled,Carrots,Ragi,Lamb,,,
,Chippiparai,Pumpkin Paratha with Lentils,Raw,Pumpkin,Lentils,Pomegranate,Peas,,
,Kombai,Bajra Curry with Green Beans,Baked,Bajra,Green Beans,Paneer,,,
,Indian Bicolor Cat,Coconut Oil Paratha with Eggs,Boiled,Coconut Oil,Eggs,Pumpkin,Watermelon,Peas,Ridge Gourd
,Kombai,Goat Curry with Pomegranate,Raw,Goat,Pomegranate,Green Beans,Pumpkin,,
,Indian Spitz,Wheat Khichdi with Okra,Slow-cooked,Wheat,Okra,Chicken,Pomegranate,,
,Indian Spitz,Turmeric Khichdi with Cucumber,Boiled,Turmeric,Cucumber,Chicken,Bottle Gourd,Sweet Potato,Carrots
,Tibetan Mastiff,Fish Paratha with Cucumber,Pressure-cooked,Fish,Cucumber,Bottle Gourd,Pumpkin,,
,Chippiparai,Pomegranate Curry with Pumpkin,Pressure-cooked,Pomegranate,Pumpkin,Fish,Carrots,Flaxseed,
,Bakharwal Dog,Pomegranate Khichdi with Peas,Pressure-cooked,Pomegranate,Peas,Flaxseed,Sweet Potato,Paneer,
,Bakharwal Dog,Lentils Chunks with Banana,Boiled,Lentils,Banana,Spinach,Carrots,Jowar,Coconut Oil
,Vikhan Sheepdog,Lentils Mash with Peas,Pressure-cooked,Lentils,Peas,Bajra,Curd,Mango,
,Jonangi,Flaxseed Chunks with Bitter Gourd,Slow-cooked,Flaxseed,Bitter Gourd,Cucumber,Ragi,Carrots,Chicken
,Jonangi,Eggs Khichdi with Wheat,Baked,Eggs,Wheat,Carrots,,,
,Gaddi Kutta,Fish Stew with Spinach,Steamed,Fish,Spinach,Bajra,,,
,Kaikadi,Soya Chunks Paratha with Jowar,Boiled,Soya Chunks,Jowar,Peas,Mango,Coconut Oil,
,Indian Bicolor Cat,Jowar Stew with Pomegranate,Stir-fried,Jowar,Pomegranate,Bitter Gourd,Fenugreek Seeds,Soya Chunks,
,Tibetan Mastiff,Soya Chunks Mash with Ragi,Pressure-cooked,Soya Chunks,Ragi,Bottle Gourd,Bottle Gourd,Banana,Fenugreek Seeds
,Rampur Greyhound,Fenugreek Seeds Mash with Bottle Gourd,Pressure-cooked,Fenugreek Seeds,Bottle Gourd,Lentils,Ragi,Cucumber,
,Mudhol Hound,Pumpkin Pulao with Eggs,Slow-cooked,Pumpkin,Eggs,Peas,,,
,Bully Kutta,Jowar Stew with Goat,Steamed,Jowar,Goat,Cucumber,Bottle Gourd,Turmeric,
,Tibetan Mastiff,Carrots Chunks with Papaya,Stir-fried,Carrots,Papaya,Curd,Wheat,Goat,
,Kanni,Soya Chunks Curry with Apple,Slow-cooked,Soya Chunks,Apple,Ridge Gourd,Ragi,,
,Gaddi Kutta,Spinach Chunks with Mango,Steamed,Spinach,Mango,Wheat,Goat,,
,Gaddi Kutta,Bottle Gourd Pulao with Oats,Baked,Bottle Gourd,Oats,Paneer,,,
,Rajapalayam,Carrots Paratha with Papaya,Pressure-cooked,Carrots,Papaya,Fish,Peas,Oats,Ghee
,Kaikadi,Chicken Pulao with Watermelon,Baked,Chicken,Watermelon,Bottle Gourd,Wheat,,
,Himalayan Cat,Goat Chunks with Pomegranate,Pressure-cooked,Goat,Pomegranate,Peas,Jowar,Carrots,Curd
,Kanni,Paneer Paratha with Bitter Gourd,Raw,Paneer,Bitter Gourd,Sweet Potato,,,
,Jonangi,Bitter Gourd Pulao with Paneer,Raw,Bitter Gourd,Paneer,Banana,Fenugreek Seeds,Spinach,Bajra
,Tangkhul Hui,Jowar Stew with Bitter Gourd,Slow-cooked,Jowar,Bitter Gourd,Eggs,,,
,Vikhan Sheepdog,Bitter Gourd Pulao with Paneer,Baked,Bitter Gourd,Paneer,Pumpkin,,,
,Indian Bicolor Cat,Lentils Chunks with Bottle Gourd,Baked,Lentils,Bottle Gourd,Ghee,Bajra,Peas,Watermelon
,Tibetan Mastiff,Peas Stew with Papaya,Steamed,Peas,Papaya,Sweet Potato,Fish,,
,Tangkhul Hui,Paneer Paratha with Green Beans,Raw,Paneer,Green Beans,Mango,Rice,,
,Himalayan Cat,Turmeric Paratha with Okra,Baked,Turmeric,Okra,Chicken,Cucumber,Oats,
,Tibetan Mastiff,Eggs Khichdi with Turmeric,Steamed,Eggs,Turmeric,Apple,Peas,Ridge Gourd,Wheat
,Tangkhul Hui,Pumpkin Chunks with Green Beans,Stir-fried,Pumpkin,Green Beans,Goat,,,
,Tangkhul Hui,Okra Curry with Fish,Stir-fried,Okra,Fish,Coconut Oil,Sweet Potato,Papaya,
,Kaikadi,Bottle Gourd Khichdi with Goat,Stir-fried,Bottle Gourd,Goat,Jowar,,,
,Kanni,Fish Curry with Papaya,Pressure-cooked,Fish,Papaya,Okra,Rice,,
,Gaddi Kutta,Paneer Stew with Oats,Steamed,Paneer,Oats,Green Beans,Green Beans,Coconut Oil,Cucumber
,Bangkaew,Peas Curry with Bottle Gourd,Boiled,Peas,Bottle Gourd,Cucumber,Curd,Lentils,Rice
